symbol,k,train_end
XRPUSD,67,2025-08-31T06:00:00+00:00
BNBUSD,51,2025-08-24T23:06:00+00:00
BCHUSDT,110,2025-08-24T23:06:00+00:00
SUIUSD,239,2025-08-24T23:23:00+00:00
SHIBUSD,63,2025-08-24T23:06:00+00:00
UNIUSDT,102,2025-08-24T23:06:00+00:00
AAVEUSDT,168,2025-08-24T23:06:00+00:00
DOTUSDT,43,2025-08-24T23:06:00+00:00
AVAXUSD,36,2025-08-25T06:18:00+00:00
SHIBUSDT,52,2025-08-24T23:06:00+00:00
HBARUSD,101,2025-08-24T23:06:00+00:00
LTCUSDT,110,2025-08-24T23:06:00+00:00
LTCUSD,52,2025-08-25T06:18:00+00:00
DOGEUSD,46,2025-08-24T23:06:00+00:00
SOLUSD,224,2025-08-24T23:06:00+00:00
ADAUSD,91,2025-08-24T23:06:00+00:00
LINKUSD,19,2025-08-25T06:18:00+00:00
DOTUSD,61,2025-08-25T06:18:00+00:00
XLMUSDT,46,2025-08-24T23:06:00+00:00
XLMUSD,94,2025-08-24T23:06:00+00:00
ZECUSDT,548,2025-08-24T23:06:00+00:00
AVAXUSDT,61,2025-08-24T23:06:00+00:00
NEARUSD,47,2025-08-25T13:30:00+00:00
UNIUSD,22,2025-08-25T13:30:00+00:00
HBARUSDT,122,2025-08-24T23:06:00+00:00
SUIUSDT,101,2025-08-24T23:06:00+00:00
ETHUSD,105,2025-08-24T23:06:00+00:00
LINKUSDT,93,2025-08-24T23:06:00+00:00
BTCUSDT,1,2025-08-24T23:06:00+00:00
BNBUSDT,40,2025-08-24T23:06:00+00:00
DOGEUSDT,37,2025-08-24T23:06:00+00:00
HYPEUSD,20,2025-09-26T00:54:00+00:00
XRPUSDT,39,2025-08-24T23:06:00+00:00
ICPUSD,91,2025-08-26T11:06:00+00:00
HYPEUSDT,118,2025-09-26T00:57:00+00:00
BCHUSD,47,2025-08-26T11:06:00+00:00
ADAUSDT,76,2025-08-24T23:06:00+00:00
ETHUSDT,53,2025-08-24T23:06:00+00:00
SOLUSDT,115,2025-08-24T23:06:00+00:00
WLFIUSDT,52,2025-11-08T12:42:00+00:00
USD1USDT,1,2025-11-08T12:54:00+00:00
